image,lying,heat_lamp,food
img00002.png,down,on,0
img00072.png,down,on,0
img00173.png,,,
img00492.png,,,
img00527.png,,,
img00603.png,,,
img01425.png,,,
img01579.png,,,
img02102.png,,,
img02822.png,,,
img02993.png,,,
img03579.png,,,
img03866.png,,,
img04608.png,,,3
img04890.png,,,
img04952.png,,,
img05123.png,,,
img05427.png,,,
img06041.png,,,
img06533.png,,,
img06835.png,,,
img07069.png,,,
img07750.png,,,
img07751.png,,,
img07834.png,,,
img08130.png,,,
img08239.png,,,
img09070.png,,,
img09217.png,,,
img09582.png,,,
img09808.png,,,
img10641.png,,,
img10881.png,,,2
img11073.png,,,
img11329.png,,,
img11385.png,,,
img11400.png,,,
img11656.png,,,
img12671.png,,,
img12736.png,,,
img12762.png,,,
img13628.png,,,
img14114.png,,,
img14271.png,,,
img14430.png,,,
img16251.png,,,
img16584.png,,,
img16666.png,,,
img16692.png,,,1
img17033.png,,,
img17198.png,,,
img17378.png,,,
img17822.png,,,
img18152.png,,,
img18217.png,,,
img18580.png,,,
img18873.png,,,
img18921.png,,,
img19163.png,,,
img19220.png,,,
img19419.png,,,
img19560.png,,,
img19642.png,,,
img19871.png,,,
img20014.png,,,
img20063.png,,,
img20181.png,,,
img20530.png,,,
img20680.png,,,
img20748.png,,,
img21276.png,,,
img21366.png,,,
img21433.png,,,
img21939.png,,,
img22056.png,,,
img22079.png,,,
img22409.png,,,
img22631.png,,,
img24388.png,,,
img25178.png,,,
img25592.png,,,
img26079.png,,,
img27261.png,,,
img27895.png,,,
img28366.png,,,
img28383.png,,,
img28813.png,,,
img29711.png,,,
img30759.png,,,
img30807.png,,,
img31625.png,,,
img31800.png,,,
img32767.png,,,
img33152.png,,,
img33616.png,,,
img33978.png,,,
img34184.png,,,
img34263.png,,,
img35136.png,,,
img35419.png,,,
